latitude,longitude,value
33.333322800000005,-101.3333604,-0.039
31.916656700000004,-91.9166975,0.436
34.583322300000006,-100.8333606,0.358
33.9999892,-95.8333626,-0.02
34.0833225,-95.91669590000001,-0.019
34.3333224,-96.0833625,-0.018
36.083321700000006,-95.2500295,-0.017
34.749988900000005,-92.1666974,0.322
35.9166551,-99.833361,0.277
44.6666516,-103.5833595,0.271
36.6666548,-88.166699,-0.016
36.999988,-89.5000318,-0.015
38.083320900000004,-90.4166981,-0.014
39.333320400000005,-91.0000312,-0.013
39.416653700000005,-86.5833663,-0.012
47.7499837,-113.0833557,-0.011
44.6666516,-103.6666928,0.239
45.08331810000001,-93.2500303,0.197
45.249984700000006,-93.2500303,0.163
45.583317900000004,-90.2500315,0.146
45.666651200000004,-92.8333638,0.092
47.9166503,-107.8333578,0.087
48.583316700000005,-113.4166889,-0.01
47.9166503,-107.91669110000001,0.072
48.9166499,-110.0833569,0.044
48.666650000000004,-113.4166889,-0.009
49.5833163,-110.00002359999999,-0.006
48.9999832,-110.2500235,0.022
49.4166497,-109.50002380000001,0.016
49.499983,-109.7500237,-0.001
49.5833163,-109.7500237,-0.002
49.66664960000001,-110.2500235,-0.003
49.66664960000001,-109.4166905,-0.004
49.66664960000001,-109.3333572,-0.004
49.66664960000001,-109.2500239,-0.003
49.66664960000001,-109.16669060000001,-0.003
49.66664960000001,-109.0833573,-0.003
49.66664960000001,-109.000024,-0.003
49.66664960000001,-108.9166907,-0.003
49.66664960000001,-108.83335740000001,-0.003
49.5833163,-110.41669010000001,-0.003
49.5833163,-110.3333568,-0.004
49.5833163,-110.2500235,-0.003
49.5833163,-110.1666902,-0.003
49.5833163,-110.0833569,-0.003
49.5833163,-109.9166903,-0.003
49.5833163,-109.833357,-0.003
49.5833163,-109.6666904,-0.002
49.5833163,-109.5833571,-0.003
49.5833163,-109.50002380000001,-0.003
49.5833163,-109.4166905,-0.002
49.5833163,-109.3333572,-0.002
49.5833163,-109.2500239,-0.002
49.5833163,-109.16669060000001,-0.002
49.5833163,-109.0833573,-0.002
49.5833163,-109.000024,-0.002
49.5833163,-108.9166907,-0.002
49.5833163,-108.83335740000001,-0.003
49.499983,-110.5000234,-0.002
49.499983,-110.41669010000001,-0.002
49.499983,-110.3333568,-0.002
49.499983,-110.2500235,-0.002
49.499983,-110.1666902,-0.002
49.499983,-110.0833569,-0.002
49.499983,-110.00002359999999,-0.002
49.499983,-109.9166903,-0.002
49.499983,-109.833357,-0.002
49.499983,-109.6666904,-0.001
49.499983,-109.5833571,-0.001
49.499983,-109.50002380000001,-0.001
49.499983,-109.4166905,-0.001
49.499983,-109.3333572,-0.001
49.499983,-109.2500239,-0.001
49.499983,-109.16669060000001,-0.001
49.499983,-109.0833573,-0.002
49.499983,-109.000024,-0.002
49.499983,-108.9166907,-0.002
49.499983,-108.83335740000001,-0.002
49.499983,-108.75002409999999,-0.002
49.499983,-108.6666908,-0.002
49.499983,-108.5833575,-0.002
49.499983,-108.5000242,-0.002
49.499983,-108.41669089999999,-0.002
49.499983,-108.3333576,-0.002
49.499983,-108.2500243,-0.002
49.499983,-108.166691,-0.002
49.499983,-108.0833577,-0.002
49.499983,-108.0000244,-0.002
49.499983,-107.91669110000001,-0.002
49.499983,-107.8333578,-0.002
49.499983,-107.7500245,-0.002
49.499983,-107.6666912,-0.002
49.4166497,-110.5000234,-0.002
49.4166497,-110.41669010000001,-0.002
49.4166497,-110.3333568,-0.002
49.4166497,-110.2500235,-0.002
49.4166497,-110.1666902,-0.002
49.4166497,-110.0833569,-0.002
49.4166497,-110.00002359999999,-0.002
49.4166497,-109.9166903,-0.002
49.4166497,-109.833357,-0.002
49.4166497,-109.7500237,-0.001
49.4166497,-109.6666904,-0.001
49.4166497,-109.5833571,-0.001
49.4166497,-109.4166905,-0.001
49.4166497,-109.3333572,-0.001
49.4166497,-109.2500239,-0.001
49.4166497,-109.16669060000001,-0.001
49.4166497,-109.0833573,-0.001
49.4166497,-109.000024,-0.002
49.4166497,-108.9166907,-0.002
49.4166497,-108.83335740000001,-0.002
49.4166497,-108.75002409999999,-0.002
49.4166497,-108.6666908,-0.002
49.4166497,-108.5833575,-0.002
49.4166497,-108.5000242,-0.002
49.4166497,-108.41669089999999,-0.002
49.4166497,-108.3333576,-0.002
49.4166497,-108.2500243,-0.002
49.4166497,-108.166691,-0.002
49.4166497,-108.0833577,-0.002
49.4166497,-108.0000244,-0.002
49.4166497,-107.91669110000001,-0.002
